sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
ACDEKL/,GKL/FH,1,False,True,False,False,True,True,True,True
ADEL/CK,GL/K,1,True,False,True,True,True,True,True,True
AL/CDEK,FGHJL/IK,1,True,True,True,True,True,True,True,True
AL/CDEK,FIJ/K,1,True,False,True,True,True,True,True,False
A/CDEKL,I/FGHJKL,3,True,True,True,True,True,True,False,False
AL/CDEK,FGHL/IJK,1,True,True,True,True,True,True,True,True
ACDEKL/,GHIKL/FJ,1,False,True,False,False,True,True,True,True
ACDEKL/,GKL/FHIJ,1,False,True,False,False,True,True,True,True
CDEK/AL,K/FGHJL,1,True,True,True,True,True,False,True,True
A/CDEKL,FHJ/GIKL,3,True,True,True,True,True,True,False,False
A/CDEKL,FH/GKL,3,True,True,True,True,True,True,False,False
A/CDEKL,J/FGHIKL,3,True,True,True,True,True,True,False,False
A/CDEKL,FHIJ/GKL,3,True,True,True,True,True,True,False,False
CDEK/AL,H/GL,1,True,True,True,True,True,True,True,False
ADEL/CK,GHL/FIJK,1,True,True,True,True,True,True,True,True
CDEK/AL,K/GL,1,True,True,True,True,True,False,True,True
A/CDEKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
CK/ADEL,IK/GL,1,True,True,True,True,True,True,True,True
ACDEKL/,GIJKL/FH,1,False,True,False,False,True,True,True,True
CK/ADEL,G/L,1,True,False,True,True,True,True,True,False
CDEKL/A,GKL/FHIJ,1,True,True,False,False,True,True,True,True
CK/ADEL,K/FGHL,1,True,True,True,True,True,False,True,True
CDEK/AL,FHJ/GL,1,True,True,True,True,True,True,True,False
CK/ADEL,K/FGHJL,1,True,True,True,True,True,False,True,True
AL/CDEK,FGHL/K,1,True,False,True,True,True,True,True,True
A/CDEKL,FIJ/GHKL,3,True,True,True,True,True,True,False,False
A/CDEKL,J/GIKL,3,True,True,True,True,True,True,False,False
CDEKL/A,FGHJKL/I,1,True,True,False,False,True,True,True,True
CDEK/AL,FIJK/GHL,1,True,True,True,True,True,True,True,True
ADEL/CK,FGHJL/K,1,True,False,True,True,True,True,True,True
CK/ADEL,J/FGHL,1,True,True,True,True,True,True,True,False
CDEK/AL,IK/GHL,1,True,True,True,True,True,True,True,True
A/CDEKL,I/GHKL,3,True,True,True,True,True,True,False,False
CDEKL/A,GIKL/FHJ,1,True,True,False,False,True,True,True,True
A/CDEKL,IJ/GKL,3,True,True,True,True,True,True,False,False
ADEL/CK,GHL/K,1,True,False,True,True,True,True,True,True
A/CDEKL,I/FGHKL,3,True,True,True,True,True,True,False,False
ADEL/CK,GHL/IK,1,True,True,True,True,True,True,True,True
CDEKL/A,GHKL/I,1,True,True,False,False,True,True,True,True
